feature,psi
 No-credit Interval,0.03871095356991455
 Long-term Liability to Current Assets,0.03552281251865563
 Interest-bearing debt interest rate,0.03279770256459854
 Inventory/Current Liability,0.023556189492256987
 Quick Assets/Total Assets,0.02071593441936666
 Net Income to Total Assets,0.01834356776760204
 Net profit before tax/Paid-in capital,0.017891228514733227
 Fixed Assets to Assets,0.017749595081910843
 Per Share Net profit before tax (Yuan ¥),0.01684083041184302
 Persistent EPS in the Last Four Seasons,0.01577114720623811
 Realized Sales Gross Margin,0.015092441870729065
 Tax rate (A),0.014560632510713701
 Quick Ratio,0.014209402362755343
 Long-term fund suitability ratio (A),0.014176484058968201
 Allocation rate per person,0.013892332904165753
